timestamp,plant_id,soil_moisture_pct,temperature_c,humidity_pct,watered
2024-06-01T06:00:00,plant_b,73.21,37.71,40.66,0
2024-06-01T06:30:00,plant_b,76.32,39.17,41.29,0
2024-06-01T07:00:00,plant_b,74.99,39.47,40.63,0
2024-06-01T07:30:00,plant_b,75.09,39.0,40.01,0
2024-06-01T08:00:00,plant_b,75.87,39.19,39.4,0
2024-06-01T08:30:00,plant_b,73.59,38.95,36.95,0
2024-06-01T09:00:00,plant_b,74.42,38.75,40.44,0
2024-06-01T09:30:00,plant_b,72.27,38.63,41.07,0
2024-06-01T10:00:00,plant_b,73.44,38.25,40.71,0
2024-06-01T10:30:00,plant_b,71.49,37.84,40.1,0
2024-06-01T11:00:00,plant_b,73.73,37.97,45.69,0
2024-06-01T11:30:00,plant_b,73.81,37.21,48.66,0
2024-06-01T12:00:00,plant_b,75.29,35.55,48.76,0
2024-06-01T12:30:00,plant_b,72.92,34.55,51.61,0
2024-06-01T13:00:00,plant_b,72.2,34.97,55.7,0
2024-06-01T13:30:00,plant_b,72.82,33.96,56.76,0
2024-06-01T14:00:00,plant_b,72.04,33.21,60.79,0
2024-06-01T14:30:00,plant_b,70.62,32.3,61.77,0
2024-06-01T15:00:00,plant_b,71.61,31.81,64.07,0
2024-06-01T15:30:00,plant_b,70.0,30.24,66.07,0
2024-06-01T16:00:00,plant_b,71.66,29.84,68.38,0
2024-06-01T16:30:00,plant_b,71.69,29.31,72.5,0
2024-06-01T17:00:00,plant_b,73.24,29.41,73.93,0
2024-06-01T17:30:00,plant_b,70.88,28.59,77.06,0
2024-06-01T18:00:00,plant_b,69.92,27.22,77.89,0
2024-06-01T18:30:00,plant_b,70.51,27.6,78.57,0
2024-06-01T19:00:00,plant_b,69.3,26.9,80.2,0
2024-06-01T19:30:00,plant_b,69.86,26.64,78.69,0
2024-06-01T20:00:00,plant_b,70.45,26.7,81.88,0
2024-06-01T20:30:00,plant_b,70.89,26.36,79.45,0
2024-06-01T21:00:00,plant_b,71.74,28.43,77.89,0
2024-06-01T21:30:00,plant_b,69.84,26.82,78.59,0
2024-06-01T22:00:00,plant_b,70.35,27.82,74.97,0
2024-06-01T22:30:00,plant_b,70.68,28.87,77.18,0
2024-06-01T23:00:00,plant_b,70.15,28.64,74.76,0
2024-06-01T23:30:00,plant_b,69.52,28.24,68.87,0
2024-06-02T00:00:00,plant_b,71.2,28.24,67.1,0
2024-06-02T00:30:00,plant_b,68.48,28.3,63.02,0
2024-06-02T01:00:00,plant_b,69.01,29.86,61.53,0
2024-06-02T01:30:00,plant_b,68.23,29.39,60.21,0
2024-06-02T02:00:00,plant_b,67.92,30.97,56.83,0
2024-06-02T02:30:00,plant_b,70.95,31.73,55.4,0
2024-06-02T03:00:00,plant_b,67.12,32.27,52.57,0
2024-06-02T03:30:00,plant_b,69.1,33.15,49.82,0
2024-06-02T04:00:00,plant_b,67.16,32.75,45.62,0
2024-06-02T04:30:00,plant_b,69.65,34.68,46.83,0
2024-06-02T05:00:00,plant_b,68.71,35.04,43.18,0
2024-06-02T05:30:00,plant_b,66.14,35.54,40.45,0
2024-06-02T06:00:00,plant_b,67.33,35.51,39.87,0
2024-06-02T06:30:00,plant_b,69.02,36.57,37.36,0
2024-06-02T07:00:00,plant_b,68.06,36.48,34.96,0
2024-06-02T07:30:00,plant_b,68.74,36.4,38.33,0
2024-06-02T08:00:00,plant_b,66.49,37.02,39.17,0
2024-06-02T08:30:00,plant_b,67.56,36.88,36.48,0
2024-06-02T09:00:00,plant_b,66.67,36.06,39.55,0
2024-06-02T09:30:00,plant_b,68.27,36.06,38.87,0
2024-06-02T10:00:00,plant_b,65.84,35.38,39.2,0
2024-06-02T10:30:00,plant_b,64.98,34.7,41.87,0
2024-06-02T11:00:00,plant_b,65.0,34.94,39.16,0
2024-06-02T11:30:00,plant_b,66.08,34.09,44.18,0
2024-06-02T12:00:00,plant_b,66.79,33.66,47.74,0
2024-06-02T12:30:00,plant_b,65.59,33.2,48.45,0
2024-06-02T13:00:00,plant_b,65.29,32.17,53.18,0
2024-06-02T13:30:00,plant_b,64.39,31.8,55.47,0
2024-06-02T14:00:00,plant_b,64.18,31.0,56.69,0
2024-06-02T14:30:00,plant_b,63.9,29.61,58.29,0
