timestamp,plant_id,soil_moisture_pct,temperature_c,humidity_pct,watered,irrigation_needed,stress_level
2024-06-01T06:00:00,plant_a,74.7,38.03,41.79,0,0,healthy
2024-06-01T06:30:00,plant_a,75.58,38.39,38.55,0,0,healthy
2024-06-01T07:00:00,plant_a,95.0,38.59,39.63,1,0,healthy
2024-06-01T07:30:00,plant_a,94.98,38.94,41.19,0,0,healthy
2024-06-01T08:00:00,plant_a,95.0,38.95,38.17,0,0,healthy
2024-06-01T08:30:00,plant_a,93.26,38.95,41.41,0,0,healthy
2024-06-01T09:00:00,plant_a,94.33,38.66,40.75,0,0,healthy
2024-06-01T09:30:00,plant_a,92.33,38.32,41.53,0,0,healthy
2024-06-01T10:00:00,plant_a,94.91,38.0,42.52,0,0,healthy
2024-06-01T10:30:00,plant_a,93.94,37.98,41.74,0,0,healthy
2024-06-01T11:00:00,plant_a,94.11,36.54,41.2,0,0,healthy
2024-06-01T11:30:00,plant_a,92.47,36.19,48.41,0,0,healthy
2024-06-01T12:00:00,plant_a,93.77,35.41,50.54,0,0,healthy
2024-06-01T12:30:00,plant_a,91.55,35.16,51.18,0,0,healthy
2024-06-01T13:00:00,plant_a,92.67,34.78,55.05,0,0,healthy
2024-06-01T13:30:00,plant_a,92.73,33.95,57.38,0,0,healthy
2024-06-01T14:00:00,plant_a,91.35,32.62,58.57,0,0,healthy
2024-06-01T14:30:00,plant_a,92.5,32.02,65.39,0,0,healthy
2024-06-01T15:00:00,plant_a,90.72,30.91,65.6,0,0,healthy
2024-06-01T15:30:00,plant_a,93.22,30.81,68.18,0,0,healthy
2024-06-01T16:00:00,plant_a,93.05,29.86,67.14,0,0,healthy
2024-06-01T16:30:00,plant_a,90.54,29.63,69.28,0,0,healthy
2024-06-01T17:00:00,plant_a,91.07,28.76,72.94,0,0,healthy
2024-06-01T17:30:00,plant_a,91.76,28.37,78.62,0,0,healthy
2024-06-01T18:00:00,plant_a,91.51,27.46,75.75,0,0,healthy
2024-06-01T18:30:00,plant_a,89.65,27.74,76.9,0,0,healthy
2024-06-01T19:00:00,plant_a,90.47,27.41,77.51,0,0,healthy
2024-06-01T19:30:00,plant_a,90.11,26.22,77.48,0,0,healthy
2024-06-01T20:00:00,plant_a,89.71,27.07,81.06,0,0,healthy
2024-06-01T20:30:00,plant_a,90.3,27.06,79.35,0,0,healthy
2024-06-01T21:00:00,plant_a,91.57,27.46,79.0,0,0,healthy
2024-06-01T21:30:00,plant_a,89.01,27.72,78.32,0,0,healthy
2024-06-01T22:00:00,plant_a,91.66,27.69,79.52,0,0,healthy
2024-06-01T22:30:00,plant_a,89.72,28.78,75.31,0,0,healthy
2024-06-01T23:00:00,plant_a,89.51,28.21,73.19,0,0,healthy
2024-06-01T23:30:00,plant_a,91.81,29.58,72.48,0,0,healthy
2024-06-02T00:00:00,plant_a,87.13,28.0,68.13,0,0,healthy
2024-06-02T00:30:00,plant_a,89.19,28.16,64.94,0,0,healthy
2024-06-02T01:00:00,plant_a,91.8,28.74,61.83,0,0,healthy
2024-06-02T01:30:00,plant_a,91.24,29.75,59.36,0,0,healthy
2024-06-02T02:00:00,plant_a,89.59,30.21,57.62,0,0,healthy
2024-06-02T02:30:00,plant_a,87.9,31.85,54.69,0,0,healthy
2024-06-02T03:00:00,plant_a,91.97,32.38,54.17,0,0,healthy
2024-06-02T03:30:00,plant_a,87.54,32.96,50.12,0,0,healthy
2024-06-02T04:00:00,plant_a,91.07,33.04,48.78,0,0,healthy
2024-06-02T04:30:00,plant_a,89.56,34.98,46.19,0,0,healthy
2024-06-02T05:00:00,plant_a,88.79,34.75,41.28,0,0,healthy
2024-06-02T05:30:00,plant_a,88.84,35.39,44.46,0,0,healthy
